P1 - ch4_mf (kg s^-1) ,P2 - ch4_t (K) ,P3 - o2_mf (kg s^-1) ,P4 - o2_t (K) ,P5 - unif-ch4-op,P6 - x-ch4-op,P7 - t-avg-out-op (K) 
0.0002,400,0.001,500,0.63969338,0.17687391,477.12933
0.000181741,437.7376019,0.001090151,450.2559173,0.60627836,0.15903932,447.65829
0.000181034,435.7765136,0.000901684,543.8541489,0.65476429,0.17925203,517.83832
0.000181521,429.8609185,0.000903519,450.6574981,0.70707244,0.19156472,445.44992
0.000182544,361.8753281,0.001082559,451.4399717,0.56302208,0.15349299,434.25204
0.000184286,363.7925645,0.001090737,549.2578391,0.51476884,0.14644016,514.60889
0.000181637,362.3756002,0.000902444,468.4864458,0.65104598,0.17898254,444.42114
0.000180996,436.6077606,0.00108772,549.6651283,0.54681665,0.15026571,527.12225
0.000186723,369.8275443,0.000904125,547.1225402,0.61939102,0.1744768,507.0181
0.000199319,438.8381774,0.000991379,542.5234946,0.64375442,0.17785048,517.95587
0.000180118,398.7032801,0.001096354,495.0523796,0.54869181,0.14989482,476.45383
0.000182381,434.6244797,0.000998058,495.2055038,0.62730545,0.16796061,481.76343
0.000182265,365.6368801,0.0009994,508.0125465,0.57389909,0.15919882,479.10178
0.000183826,397.5058055,0.000992036,452.0358502,0.63785392,0.1708699,440.09399
0.00019902,405.0768268,0.001082425,548.2492773,0.568434,0.15960404,518.49402
0.000180142,399.3108718,0.000996146,549.3713318,0.57011372,0.157883,518.31409
0.000195853,437.3353529,0.001095876,503.7241806,0.60054517,0.16295306,489.50433
0.00019735,437.5911965,0.000909388,501.3516496,0.71231467,0.19977358,484.49695
0.000182735,401.6432361,0.00090455,499.7825453,0.66063923,0.18108921,476.58923
0.00018066,399.4450623,0.00108807,545.7032942,0.52917826,0.14750318,517.64594
0.000190263,411.9537048,0.000940325,532.6994049,0.64244467,0.17772005,504.42688
0.000199455,436.7772042,0.000908724,454.4615571,0.7454412,0.2107289,449.60309
0.000180865,364.2855102,0.001087596,500.1852903,0.53281218,0.14818832,474.70667
0.000181244,438.5502361,0.001003987,538.1224688,0.59793979,0.16227524,516.56055
0.000182062,400.7353361,0.001098327,452.0211963,0.57901073,0.15475054,441.88037
0.000182156,361.2698384,0.000984039,454.9711015,0.61102176,0.16618401,435.39297
0.000181086,435.3529733,0.000987319,451.3084407,0.65812236,0.17395881,447.67361
0.000187846,411.202894,0.001034785,519.548962,0.58942151,0.16165416,496.66687
0.000197781,394.8095103,0.00099495,548.3550047,0.60565168,0.17003907,514.32684
0.000193496,379.9097256,0.001037253,477.2962793,0.60475904,0.16612469,456.72498
0.000191068,418.2333064,0.00103298,470.4018749,0.63230342,0.17013931,458.88174
0.000197845,404.8383606,0.001084374,497.7247647,0.59357321,0.16317217,478.16608
0.000180055,433.446599,0.001093557,491.5461892,0.57188535,0.15326558,479.86362
0.000198134,439.1479228,0.000909038,546.5124888,0.68950766,0.19387969,518.64771
0.000182719,363.4043096,0.000995024,549.0813992,0.55507141,0.15642114,511.75296
0.000184918,393.6762617,0.000911162,453.2066171,0.68531638,0.18716672,438.92514
0.000191788,382.2388922,0.000953931,483.4086865,0.64679158,0.17836899,460.30365
0.000183089,369.7630616,0.000900412,507.5233506,0.63657063,0.1767647,476.2196
0.000181333,435.7895343,0.000904237,503.7386272,0.67686963,0.18411799,487.09576
0.000189865,414.419709,0.00095481,476.4150779,0.66823381,0.18201131,461.73047
0.000196218,437.8373753,0.001069939,540.9238765,0.59330541,0.16324374,518.62476
0.000197087,362.1031267,0.000912302,462.5549673,0.68283582,0.19176072,438.30673
0.000193038,379.2388151,0.001037883,523.5410589,0.57594866,0.16115396,493.69415
0.000181355,396.635214,0.000980778,502.0239081,0.60590607,0.16508046,479.44733
0.000192278,376.4968893,0.000959049,522.9164325,0.61652952,0.17238641,490.40546
0.000180389,392.0186372,0.000933764,532.6165096,0.61042058,0.16839918,501.6647
0.00018873,437.2173357,0.000954759,520.1651465,0.65383428,0.17839427,500.47137
0.000180073,385.389292,0.001030575,483.3971118,0.57963669,0.15762949,463.61096
0.000194312,383.9177368,0.000957613,450.1106916,0.67272675,0.18473382,434.58417
0.000187169,381.4162889,0.001096246,472.4560906,0.56573641,0.1547873,454.58322
0.000199103,439.3540594,0.001055783,478.2773572,0.64503795,0.17420276,469.38345
0.000183651,436.281876,0.001057129,518.8898611,0.58412254,0.15814546,501.60883
0.000191049,396.1906636,0.001046808,450.1747805,0.62394351,0.16781236,438.62253
0.000180522,386.4687529,0.001031952,525.8167467,0.55707675,0.15422934,498.03989
0.000189882,418.1729501,0.001007551,547.4058927,0.5974859,0.16513155,519.23492
0.000189969,388.400402,0.001096901,522.7998681,0.5473451,0.15290353,496.39053
0.000190185,419.4328504,0.001098864,532.149126,0.55976957,0.15472221,509.32562
0.000195132,424.6534192,0.00098507,500.1373386,0.65388829,0.1788954,482.41147
0.000184963,437.8875615,0.000931522,475.4889418,0.68652415,0.18583019,466.26611
0.000194178,390.9545832,0.000909947,535.2138898,0.65431207,0.18398337,500.59329
